1,20,19,1596,1,1.53,23.2,31,0.11,0.06,0.28,44,0.11,0
2,22,22,1980,0,0.86,38.5,47.2,0.05,2,2.91,59.2,0.09,0
3,14,8,770,0,1.05,40,49.5,0,0.93,0.93,62.6,0.12,0
4,20,20,1799,1,0.6,59.5,64.9,0,1.1,0.8,73.3,0.15,0
5,15,15,1165,0,0.31,37.9,43.4,0.08,1.16,1.55,54.7,0.16,0
6,1,0,11,0,0,20,30,0,0,0,50,0,0
7,5,2,185,1,4.29,7.14,10,0,0.48,0.48,25.7,0,0
8,11,0,107,1,5,5.83,12.5,0,1.67,0.83,30.8,0,0
9,4,3,272,0,0.67,39,54.3,0,2,2.67,65.7,0,0
10,22,17,1507,5,2.75,17.6,25.3,0.24,0.84,0.66,38,0.18,0
11,22,18,1582,6,2.67,13.7,20.1,0.17,0.17,0.45,31.6,0.06,0
12,14,12,1110,0,0.49,51.7,58.9,0.08,0.98,3.33,67.2,0.24,0
13,2,0,36,0,2.5,45,52.5,0,0,0,62.5,0,0
14,16,12,985,2,1.47,46.5,62.9,0.09,1.47,1.28,74.4,0.46,0.09
15,21,18,1577,4,2.06,14.6,22.2,0.11,0.23,1.03,32.6,0,0
16,19,19,1706,0,0.11,47.1,57.4,0,1.42,1.16,69.4,0.26,0.05
17,16,3,471,1,3.46,18.1,25,0.19,0.38,0.58,42.7,0.38,0
18,14,12,1095,1,0.33,38.9,48.5,0,1.07,5.33,58.1,0.16,0
19,5,0,107,0,0.83,24.2,34.2,0,2.5,2.5,49.2,1.67,0
20,15,11,765,2,2.24,24.2,32.9,0.12,0.71,0.12,48.1,0.59,0
21,13,6,652,1,1.94,26.3,33.1,0.28,0.42,0.56,48.3,0.14,0
22,4,1,116,0,1.54,29.2,46.2,0,0.77,0.77,60,0.77,0
23,18,8,775,1,1.16,32.6,39.8,0,0.35,0.7,47.2,0.35,0
24,12,2,359,0,2.5,17.8,22.5,0,0,0.75,34.3,0.25,0
25,19,18,1599,0,0.79,43.4,50.8,0.11,1.18,4.33,62.3,0.11,0.11
26,5,4,286,0,0.31,47.5,57.2,0,1.88,1.25,69.7,0.63,0
27,3,0,49,0,2,32,50,0,0,0,66,0,0
28,19,12,1130,0,0.71,44.2,53.3,0.16,0.63,0.56,59.8,0.16,0
29,21,16,1443,0,1.13,19.6,27.8,0,0.44,0.13,41.8,0.13,0
30,6,5,515,0,0.88,30.9,39.5,0,1.05,4.39,50.5,0.53,0
31,13,7,615,0,0.29,47.9,58.7,0,1.91,2.79,69.3,0.29,0
32,2,0,16,0,5,50,70,0,0,0,85,0,0
33,17,17,1398,2,1.03,29,34.1,0.13,0.52,0.45,43.5,0.26,0.06
34,1,0,20,0,0,30,50,0,5,0,90,0,0
35,19,10,834,1,0.97,26.1,36.3,0,1.83,0.75,49.7,0.32,0.11
36,20,20,1800,2,0.45,43.4,50.8,0,0.8,4.2,60.3,0.15,0
37,12,8,676,1,0.93,41.5,55.7,0.13,1.07,2.67,68.5,0.53,0
38,17,9,913,1,0.99,39.3,48.4,0,0.69,2.57,61.8,0.3,0
39,15,11,1029,0,0.26,36.4,47.3,0,1.67,3.25,58.7,0.18,0
40,9,9,763,0,0.12,30.5,40.6,0,0.82,2.59,48.5,0,0
41,13,9,771,1,2.56,20.7,29.7,0,0.23,0.81,39.1,0.12,0
42,4,3,231,0,2.69,16.9,33.8,0.38,0,0.77,44.6,0.38,0
43,15,14,1286,0,0.77,76.2,80.9,0.07,0.77,1.19,88.6,0.07,0
44,15,13,1156,0,0.31,84.2,92,0,1.02,1.64,98.4,0,0
45,21,21,1890,0,1.05,34,43.9,0,0.62,1.48,53.2,0.19,0
46,6,3,248,0,0.36,28.2,37.9,0,0.71,0.71,47.9,1.07,0
47,6,2,238,0,0.77,36.2,38.8,0,1.92,0.77,45.8,0.77,0
48,12,7,606,0,1.04,24.8,31.8,0,0.9,1.94,47,0.9,0.3
49,16,10,1030,0,0.53,37.6,47.8,0,1.14,2.37,60.6,0.53,0
50,17,15,1365,1,0.59,50.2,56.8,0.2,0.72,1.64,61.8,0.2,0
51,4,2,223,0,0.8,31.2,38,0,0.8,0.8,45.2,0.8,0.4
52,12,2,248,1,3.21,14.6,21.1,0,0,3.57,33.2,0,0
53,14,9,931,1,0.87,82.6,97,0.29,0.49,1.36,103.4,0.39,0.1
54,19,11,1053,4,1.45,53.3,66.7,0.26,0.34,0.09,75,0.09,0
55,17,17,1519,0,0.06,54.7,61.8,0,0.65,4.56,70.8,0.3,0
56,6,1,237,1,0.77,34.6,57.3,0,0.38,1.92,66.9,0,0
57,14,14,1154,0,0.7,65.8,76.6,0,1.41,0.94,87.7,0.16,0
58,3,1,134,1,2.67,24.7,32.7,0,0.67,0.67,46,0,0
59,16,11,1008,1,1.52,32.5,41.3,0,0.8,1.52,51.6,0.54,0.09
60,8,7,630,0,0.71,28.3,44.9,0,0.86,4.29,56.1,0.43,0
61,16,8,729,0,1.48,13.3,23.8,0.12,0.25,0.86,38.1,1.11,0.12
62,3,2,225,0,0,19.6,28.8,0,0,0.4,31.6,0,0
63,19,19,1455,2,1.3,28.3,36.6,0.12,0.25,0.86,45.6,0.49,0
64,20,17,1441,1,1.31,64.9,88.9,0.06,1.38,1.13,97.5,0.19,0
