1,Brenden Aaronson,MFFW,Leeds United,22,2000
2,Yunis Abdelhamid,DF,Reims,35,1987
3,Himad Abdelli,MFFW,Angers,23,1999
4,Salis Abdul Samed,MF,Lens,22,2000
5,Laurent Abergel,MF,Lorient,30,1993
6,Oliver Abildgaard,MF,Hellas Verona,26,1996
7,Matthis Abline,FWMF,Auxerre,19,2003
8,Matthis Abline,FWMF,Rennes,19,2003
9,Abner,DF,Betis,22,2000
10,Zakaria Aboukhlal,FWMF,Toulouse,22,2000
11,Tammy Abraham,FW,Roma,25,1997
12,Francesco Acerbi,DF,Inter,35,1988
13,Mohamed Achi,FW,Nantes,21,2002
14,Marcos Acuña,DF,Sevilla,31,1991
15,Che Adams,FW,Southampton,26,1996
16,Tyler Adams,MF,Leeds United,23,1999
17,Sargis Adamyan,FWMF,Köln,29,1993
18,Tosin Adarabioyo,DF,Fulham,25,1997
19,Martin Adeline,MFFW,Reims,19,2003
20,Karim Adeyemi,FWMF,Dortmund,21,2002
21,Amine Adli,FW,Leverkusen,22,2000
22,Yacine Adli,MFFW,Milan,22,2000
23,Michel Aebischer,FWMF,Bologna,26,1997
24,Felix Afena-Gyan,FWMF,Cremonese,20,2003
25,Emmanuel Agbadou,DF,Reims,25,1997
26,Lucien Agoume,MF,Troyes,21,2002
27,Felix Agu,DFFW,Werder Bremen,23,1999
28,Álvaro Aguado,MF,Valladolid,26,1996
29,Kevin Agudelo,MFFW,Spezia,24,1998
30,Nayef Aguerd,DF,West Ham,26,1996
31,Ruben Aguilar,DF,Monaco,29,1993
32,Naouirou Ahamada,MFFW,Crystal Palace,20,2002
33,Naouirou Ahamada,MF,Stuttgart,20,2002
34,Amar Ahmed,FW,Troyes,18,2004
35,Jean-Eudes Aholou,MF,Strasbourg,28,1994
36,Joseph Aidoo,DF,Celta Vigo,27,1995
37,Ola Aina,DF,Torino,26,1996
38,Rayan Aït Nouri,DF,Wolves,21,2001
39,Emanuel Aiwum,DF,Cremonese,22,2000
40,Kristoffer Ajer,DF,Brentford,24,1998
41,Ludovic Ajorque,FW,Strasbourg,28,1994
42,Ludovic Ajorque,FW,Mainz 05,28,1994
43,Manuel Akanji,DF,Manchester City,27,1995
44,Nathan Aké,DF,Manchester City,27,1995
45,Sergio Akieme,DF,Almería,25,1997
46,Maghnes Akliouche,MFDF,Monaco,20,2002
47,Paul Akouokou,MF,Betis,25,1997
48,Jean-Daniel Akpa-Akpro,MF,Empoli,30,1992
49,Kevin Akpoguma,DF,Hoffenheim,27,1995
50,David Alaba,DF,Real Madrid,30,1992
51,Tomás Alarcón,MF,Cádiz,24,1999
52,Lucas Alario,FW,Eint Frankfurt,30,1992
53,Jordi Alba,DF,Barcelona,33,1989
54,Luis Alberto,MF,Lazio,30,1992
55,Raúl Albiol,DF,Villarreal,37,1985
56,Marc Albrighton,FWMF,Leicester City,33,1989
57,Thiago Alcántara,MF,Liverpool,31,1991
